no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_106,879.8914281,1.183363796,23.11005328,912.8606397,16384.8,1.876756356,24.8037658,34.04413614,-15.22406452,29.55211067,52.51840973,16.54007721,8
element_107,423.5856659,1.086556051,25.42755279,748.2680782,1107393.3,2.049709258,23.88431715,33.24040758,-15.74802399,23.82421875,56.96063614,19.39524269,11
element_108,620.2523159,0.861061982,23.95209748,819.3438275,1068771.5,2.417470405,25.76199072,31.52946063,-15.68876307,23.46522522,58.4180603,17.68898773,11
element_109,836.1119108,1.221347763,23.33308919,972.1152432,29230.5,2.057089289,23.68168984,32.61765335,-14.63242811,25.91004562,56.86568832,15.7512331,11
element_110,1137.442277,0.882012829,21.80438814,947.7054121,8468.2,2.349556958,24.43435491,33.90699642,-14.08459874,36.74686813,31.39364052,20.83771515,8
element_111,667.169448,0.833105011,23.13915752,1149.833541,109764.3,2.796066661,26.13780041,34.58432479,-13.29487962,36.05687714,29.00479507,20.27913475,11
element_112,1058.767768,0.822214209,22.02866178,767.823528,25126.2,2.298451324,24.94676097,30.39138329,-16.91403247,25.26579475,55.58789063,17.34986687,8
element_113,440.392805,0.866333839,24.96447187,748.7740302,1009325.1,2.115964887,24.10561015,30.55488735,-15.56268765,19.93898773,59.98065567,19.82882881,11
element_114,1068.476699,0.600976007,21.95230504,951.952569,11679.3,2.566525736,24.022652,33.50058966,-13.40733485,36.53320313,34.76570892,20.34785271,8
element_115,584.8956088,0.729701283,23.61315336,1299.092636,85340,2.111262346,26.73817078,34.64545144,-12.57486265,30.34024429,36.961586,15.97919464,10
element_116,801.3958542,1.189919901,23.56778463,766.6567319,859018.4,2.35650562,25.28561909,29.34829588,-15.68720592,23.34405518,48.06693649,23.2032299,11
